County,Code
Adams County,1
Allen County,2
Ashland County,3
Ashtabula County,4
Athens County,5
Auglaize County,6
Belmont County,7
Brown County,8
Butler County,9
Carroll County,10
Champaign County,11
Clark County,12
Clermont County,13
Clinton County,14
Columbiana County,15
Coshocton County,16
Crawford County,17
Cuyahoga County,18
Darke County,19
Defiance County,20
Delaware County,21
Erie County,22
Fairfield County,23
Fayette County,24
Franklin County,25
Fulton County,26
Gallia County,27
Geauga County,28
Greene County,29
Guernsey County,30
Hamilton County,31
Hancock County,32
Hardin County,33
Harrison County,34
Henry County,35
Highland County,36
Hocking County,37
Holmes County,38
Huron County,39
Jackson County,40
Jefferson County,41
Knox County,42
Lake County,43
Lawrence County,44
Licking County,45
Logan County,46
Lorain County,47
Lucas County,48
Madison County,49
Mahoning County,50
Marion County,51
Medina County,52
Meigs County,53
Mercer County,54
Miami County,55
Monroe County,56
Montgomery County,57
Morgan County,58
Morrow County,59
Muskingum County,60
Noble County,61
Ottawa County,62
Paulding County,63
Perry County,64
Pickaway County,65
Pike County,66
Portage County,67
Preble County,68
Putnam County,69
Richland County,70
Ross County,71
Sandusky County,72
Scioto County,73
Seneca County,74
Shelby County,75
Stark County,76
Summit County,77
Trumbull County,78
Tuscarawas County,79
Union County,80
Van Wert County,81
Vinton County,82
Warren County,83
Washington County,84
Wayne County,85
Williams County,86
Wood County,87
Wyandot County,88
,
See also,
,
Ohio county government,
List of Ohio townships,
"Illinois County, Virginia, the county that formerly covered all of present-day Ohio",
,
References,
,
"Laning, J.F. (1896). ""The Evolution of Ohio Counties"". Ohio Archaeological and Historical Publications. V: 326–350. Archived from the original on 2015-11-21.. Other editions available at ISBN 1249686741 and Google Books",
"Lawyer, James Patterson (1905). History of Ohio: From the Glacial Period to the Present Time. Press of F. J. Heer. p. 381. Retrieved 2007-08-18. Other editions available at ISBN 9781279183281",
"Steinglass, Steven; Scarselli, Gino (2004). The Ohio State Constitution A Reference Guide. Westport, CT: Praeger Publishers. pp. 272–273. (OH county charter). Other editions available: ISBN 0313267650 and Google Books",
"""Ohio Counties"". County of Summit. 2011-11-15. Archived from the original on 2020-01-27. Retrieved 2013-02-28.",
"""Issue 6 reform wins big and sets in motion even bigger changes for Cuyahoga County"". cleveland.com. 4 November 2009. Retrieved 2010-01-28.",
"""OSBA - OSBA Staff Directory"". www.ohiobar.org.",
"""Title 3 - Ohio Revised Code | Ohio Laws"".",
"""Ohio QuickFacts"". U.S. Census Bureau. Archived from the original on 2013-03-03. Retrieved 2013-02-27.",
"""Population Estimates"". U.S. Census Bureau. December 2009. Archived from the original on 2009-03-22. Retrieved 2013-02-27.",
"""County FIPS Code Listing for the State of OHIO"". United States Environmental Protection Agency. Retrieved 2016-07-09.",
"""NACo - Find a County"". Archived from the original on 2007-04-13. Retrieved 2007-07-22.",
"""Federal Roster: Counties of Ohio, Derivation of Name and Date of Erection"" (PDF). Archived from the original on 2013-07-12. Retrieved 2013-07-21.",
"Howe, Henry (1891). Historical Collections of Ohio. Vol. 2. Columbus, OH: Henry Howe and Son. (OH county source). Other editions available: ISBN 1425565735 and Google Books",
2020 census,
Resolution of 111th Ohio General Assembly designating John Allen as the person for which Allen County was named.,
"Ashtabula, Encyclopædia Britannica, 2007. Accessed 2007-11-19.",
"Cuyahoga River, Encyclopædia Britannica, 2007. Accessed 2007-11-19.",
About Fulton County,
"Mahr, August C. (April 1957). ""Indian River and Place Names in Ohio"". Ohio Archaeological and Historical Quarterly. 66 (2): 146–148.",
"Downes, p. 368.",
"Taylor & Taylor, p. 40.",
"""Ohio Counties with County Number"" (PDF). Columbus, Ohio: Ohio Department of Taxation. June 25, 2020. Retrieved September 11, 2023.",
"Taxing District Code Book 2023 (PDF). Ohio Bureau of Motor Vehicles, Tax Distribution Section. January 3, 2023. Retrieved September 12, 2023.",
"""ODOT County Abbreviation Table"" (PDF). Ohio Department of Transportation. May 1, 2013. Retrieved December 21, 2014.",
,
"1. ""Ohio Archaeological Inventory Form Instruction Manual"" (PDF). Ohio Historic Preservation Office. June 2003. p. 61. Retrieved September 12, 2023.",
,
Further reading,
,
,
,
Wikimedia Commons has media related to Counties of Ohio.,
,
"Downes, Randolph Chandler. ""Evolution of Ohio County Boundaries"". Ohio Archaeological and Historical Publications. 36: 340–477. Archived from the original on 2014-11-05.",
"Taylor, William Alexander; Taylor, Aubrey Clarence (1899). Ohio statesmen and annals of progress: from the year 1788 to the year 1900 ... State of Ohio.",
,
,
v,
t,
e,
,
Lists of United States counties and county equivalents,
,
v,
t,
e,
,
State of Ohio,
Categories:,
,
Lists of counties of the United States by state,
Ohio counties,
Ohio geography-related lists,
,
"This page was last edited on 12 September 2023,",
