County,Code
Adams County,1
Allen County,2
Ashland County,3
Ashtabula County,4
Athens County,5
Auglaize County,6
Belmont County,7
Brown County,8
Butler County,9
Carroll County,10
Champaign County,11
Clark County,12
Clermont County,13
Clinton County,14
Columbiana County,15
Coshocton County,16
Crawford County,17
Cuyahoga County,18
Darke County,19
Defiance County,20
Delaware County,21
Erie County,22
Fairfield County,23
Fayette County,24
Franklin County,25
Fulton County,26
Gallia County,27
Geauga County,28
Greene County,29
Guernsey County,30
Hamilton County,31
Hancock County,32
Hardin County,33
Harrison County,34
Henry County,35
Highland County,36
Hocking County,37
Holmes County,38
Huron County,39
Jackson County,40
Jefferson County,41
Knox County,42
Lake County,43
Lawrence County,44
Licking County,45
Logan County,46
Lorain County,47
Lucas County,48
Madison County,49
Mahoning County,50
Marion County,51
Medina County,52
Meigs County,53
Mercer County,54
Miami County,55
Monroe County,56
Montgomery County,57
Morgan County,58
Morrow County,59
Muskingum County,60
Noble County,61
Ottawa County,62
Paulding County,63
Perry County,64
Pickaway County,65
Pike County,66
Portage County,67
Preble County,68
Putnam County,69
Richland County,70
Ross County,71
Sandusky County,72
Scioto County,73
Seneca County,74
Shelby County,75
Stark County,76
Summit County,77
Trumbull County,78
Tuscarawas County,79
Union County,80
Van Wert County,81
Vinton County,82
Warren County,83
Washington County,84
Wayne County,85
Williams County,86
Wood County,87
Wyandot County,88
