party_affiliation,age,general_2020,sos_voter_id
,18-25,0,414817
,18-25,1,267188
,26-40,0,835866
,26-40,1,906780
,41-64,0,652892
,41-64,1,1460819
,65+,0,231000
,65+,1,676275
D,18-25,0,8201
D,18-25,1,33394
D,26-40,0,8994
D,26-40,1,133068
D,41-64,0,8719
D,41-64,1,340253
D,65+,0,9011
D,65+,1,473390
L,18-25,0,16
L,18-25,1,112
L,26-40,0,31
L,26-40,1,417
L,41-64,0,45
L,41-64,1,741
L,65+,0,14
L,65+,1,410
R,18-25,0,8439
R,18-25,1,27664
R,26-40,0,6079
R,26-40,1,113455
R,41-64,0,11296
R,41-64,1,530852
R,65+,0,10879
R,65+,1,628863
